Country,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),GDP ($ per capita),Literacy (%),Agriculture,Industry,Service,Latitude,Longitude,Phones (per 1000)
Kyrgyzstan,C.W. OF IND. STATES ,5213898,198500,26.3,1600,97,0.35,0.21,0.44,41.20438,74.766098,42.40
Laos,ASIA (EX. NEAR EAST)         ,6368481,236800,26.9,1700,66.4,0.46,0.29,0.26,19.85627,102.495496,486.10
Latvia,BALTICS                            ,2274735,64589,35.2,10200,99.8,0.04,0.26,0.7,56.879635,24.603189,211.00
Lebanon,NEAR EAST                          ,3874050,10400,372.5,4800,87.4,0.12,0.21,0.67,33.854721,35.862285,84.00
Lesotho,SUB-SAHARAN AFRICA                 ,2022331,30355,66.6,3000,84.8,0.16,0.44,0.39,-29.609988,28.233608,14.10
Liberia,SUB-SAHARAN AFRICA                 ,3042004,111370,27.3,1000,57.5,0.77,0.05,0.18,6.428055,-9.429499,321.40
Libya,NORTHERN AFRICA                    ,5900754,1759540,3.4,6400,82.6,0.08,0.5,0.43,26.3351,17.228331,255.60
Liechtenstein,WESTERN EUROPE                     ,33987,160,212.4,25000,100,0.06,0.39,0.55,47.166,9.555373,23.70
Lithuania,BALTICS                            ,3585906,65200,55,11400,99.6,0.06,0.33,0.62,55.169438,23.881275,2.30
Luxembourg,WESTERN EUROPE                     ,474413,2586,183.5,55100,100,0.01,0.13,0.86,49.815273,6.129583,127.10
Macau,ASIA (EX. NEAR EAST)         ,453125,28,16183,19400,94.5,0,0.07,0.93,22.198745,113.543873,585.50
Macedonia,EASTERN EUROPE                     ,2050554,25333,80.9,6700,,0.12,0.32,0.56,41.608635,21.745275,223.40
Madagascar,SUB-SAHARAN AFRICA                 ,18595469,587040,31.7,800,68.9,0.28,0.17,0.56,-18.766947,46.869107,515.40
Malawi,SUB-SAHARAN AFRICA                 ,13013926,118480,109.8,600,62.7,0.34,0.16,0.5,-13.254308,34.301525,384.90
Malaysia,ASIA (EX. NEAR EAST)         ,24385858,329750,74,9000,88.7,0.08,0.48,0.44,4.210484,101.975766,260.00
Maldives,ASIA (EX. NEAR EAST)         ,359008,300,1196.7,3900,97.2,0.2,0.18,0.62,3.202778,73.22068,3.60
Mali,SUB-SAHARAN AFRICA                 ,11716829,1240000,9.5,900,46.4,0.45,0.17,0.38,17.570692,-3.996166,7.90
Malta,WESTERN EUROPE                     ,400214,316,1266.5,17700,92.8,0.03,0.23,0.74,35.937496,14.375416,179.00
Marshall Islands,OCEANIA                            ,60422,11854,5.1,1600,93.7,0.32,0.15,0.53,7.131474,171.184478,90.00
Martinique,LATIN AMER. & CARIB    ,436131,1100,396.5,14400,97.7,0.06,0.11,0.83,14.641528,-61.024174,6.40
Mauritania,SUB-SAHARAN AFRICA                 ,3177388,1030700,3.1,1800,41.7,0.25,0.29,0.46,21.00789,-10.940835,505.00
Mauritius,SUB-SAHARAN AFRICA                 ,1240827,2040,608.3,11400,85.6,0.06,0.3,0.64,-20.348404,57.552152,91.20
Mayotte,SUB-SAHARAN AFRICA                 ,201234,374,538.1,2600,,,,,-12.8275,45.166244,394.40
Mexico,LATIN AMER. & CARIB    ,107449525,1972550,54.5,9000,92.2,0.04,0.26,0.7,23.634501,-102.552784,12.90
Micronesia,OCEANIA                            ,108004,702,153.9,2000,89,0.29,0.15,0.56,7.425554,150.550812,289.30
Moldova,C.W. OF IND. STATES ,4466706,33843,132,1800,99.1,0.21,0.23,0.56,47.411631,28.369885,49.70
Monaco,WESTERN EUROPE                     ,32543,2,16271.5,27000,99,0.17,,,43.750298,7.412841,181.60
Mongolia,ASIA (EX. NEAR EAST)         ,2832224,1564116,1.8,1800,97.8,0.21,0.21,0.58,46.862496,103.846656,114.80
